AirportName,CancelReason,max(CancelCount)
"Norfolk, VA: Norfolk International",Weather,24
"North Bend/Coos Bay, OR: Southwest Oregon Regional",Weather,3
"North Platte, NE: North Platte Regional Airport Lee Bird Field","National Air System",1
"Oakland, CA: Metropolitan Oakland International",Carrier,37
"Ogdensburg, NY: Ogdensburg International",Carrier,2
"Oklahoma City, OK: Will Rogers World",Carrier,7
"Omaha, NE: Eppley Airfield",Weather,9
"Ontario, CA: Ontario International",Carrier,27
"Orlando, FL: Orlando International",Weather,246
"Paducah, KY: Barkley Regional",Weather,4
"Palm Springs, CA: Palm Springs International",Carrier,11
"Panama City, FL: Northwest Florida Beaches International",Weather,9
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,2
"Pensacola, FL: Pensacola International",Weather,9
"Peoria, IL: General Downing - Peoria International",Carrier,3
"Petersburg, AK: Petersburg James A Johnson",Carrier,2
"Philadelphia, PA: Philadelphia International",Weather,88
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,4
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,92
"Pittsburgh, PA: Pittsburgh International",Carrier,34
"Plattsburgh, NY: Plattsburgh International",Carrier,1
"Ponce, PR: Mercedita",Carrier,4
"Portland, ME: Portland International Jetport",Weather,27
"Portland, OR: Portland International",Carrier,97
"Portsmouth, NH: Portsmouth International at Pease",Weather,1
"Providence, RI: Theodore Francis Green State",Weather,15
"Provo, UT: Provo Municipal","National Air System",3
"Pueblo, CO: Pueblo Memorial",Weather,2
"Pullman, WA: Pullman Moscow Regional","National Air System",1
"Punta Gorda, FL: Punta Gorda Airport","National Air System",5
"Raleigh/Durham, NC: Raleigh-Durham International",Carrier,67
"Rapid City, SD: Rapid City Regional",Weather,14
"Redding, CA: Redding Municipal","National Air System",1
"Reno, NV: Reno/Tahoe International",Carrier,10
"Rhinelander, WI: Rhinelander/Oneida County",Weather,1
"Richmond, VA: Richmond International",Carrier,27
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,1
"Rochester, MN: Rochester International","National Air System",1
"Rochester, NY: Greater Rochester International",Carrier,19
"Rockford, IL: Chicago/Rockford International",Carrier,1
"Sacramento, CA: Sacramento International",Carrier,42
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Salina, KS: Salina Regional",Weather,1
"Salt Lake City, UT: Salt Lake City International",Carrier,34
"San Angelo, TX: San Angelo Regional/Mathis Field","National Air System",1
"San Antonio, TX: San Antonio International",Weather,20
"San Diego, CA: San Diego International",Carrier,59
"San Francisco, CA: San Francisco International",Carrier,94
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,53
"San Juan, PR: Luis Munoz Marin International",Carrier,73
"Sanford, FL: Orlando Sanford International",Carrier,9
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,32
"Santa Barbara, CA: Santa Barbara Municipal","National Air System",1
"Santa Fe, NM: Santa Fe Municipal",Weather,2
"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",Carrier,1
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,1
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,31
"Savannah, GA: Savannah/Hilton Head International",Carrier,40
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,4
"Seattle, WA: Seattle/Tacoma International",Carrier,400
"Sheridan, WY: Sheridan County",Carrier,1
"Shreveport, LA: Shreveport Regional",Carrier,3
"Sioux Falls, SD: Joe Foss Field",Weather,8
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,7
"South Bend, IN: South Bend International",Weather,4
"Spokane, WA: Spokane International",Carrier,20
"Springfield, IL: Abraham Lincoln Capital",Weather,2
"Springfield, MO: Springfield-Branson National","National Air System",1
"St. Louis, MO: St Louis Lambert International",Weather,49
"St. Petersburg, FL: St Pete Clearwater International",Carrier,14
"State College, PA: University Park",Weather,3
"Syracuse, NY: Syracuse Hancock International",Carrier,17
"Tallahassee, FL: Tallahassee International",Weather,6
"Tampa, FL: Tampa International",Weather,123
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,4
"Toledo, OH: Toledo Express",Carrier,2
"Traverse City, MI: Cherry Capital",Weather,1
"Trenton, NJ: Trenton Mercer",Weather,11
"Tucson, AZ: Tucson International",Carrier,6
"Tulsa, OK: Tulsa International",Weather,9
"Tyler, TX: Tyler Pounds Regional",Weather,3
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Carrier,5
"Vernal, UT: Vernal Regional",Weather,1
"Victoria, TX: Victoria Regional",Carrier,1
"Waco, TX: Waco Regional",Carrier,1
"Walla Walla, WA: Walla Walla Regional",Carrier,2
"Washington, DC: Ronald Reagan Washington National",Carrier,125
"Washington, DC: Washington Dulles International",Carrier,37
"Waterloo, IA: Waterloo Regional",Carrier,1
"Wenatchee, WA: Pangborn Memorial",Carrier,1
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,72
"White Plains, NY: Westchester County",Carrier,52
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,4
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,6
"Wilmington, DE: New Castle",Carrier,1
"Wilmington, NC: Wilmington International",Weather,3
"Worcester, MA: Worcester Regional",Carrier,16
"Wrangell, AK: Wrangell Airport",Carrier,2
"Yakima, WA: Yakima Air Terminal/McAllister Field",Carrier,1
"Yakutat, AK: Yakutat Airport",Carrier,4
